iter	RMSE
0	0.9357994112
1	0.8934243816
2	0.8806812403
3	0.8691011569
4	0.8536282226
5	0.8500408524
6	0.849160479
7	0.8471508053
8	0.8429637752
9	0.8380096614
10	0.8367773932
11	0.8356079621
12	0.8335095276
13	0.8330597521
14	0.8322792208
15	0.8322789066
16	0.8322738234
17	0.8319873719
18	0.8319345779
19	0.8245765621
20	0.8228468652
21	0.8213458088
22	0.8210768788
23	0.8207164694
24	0.8192888248
25	0.8190424346
26	0.8187860719
27	0.8173527002
28	0.8171972305
29	0.8171364421
30	0.8171224805
31	0.8167572125
32	0.8167305565
33	0.8167201674
34	0.8166952854
35	0.8151860798
36	0.8151842138
37	0.8149014673
38	0.8146780819
39	0.814511947
40	0.8140341277
41	0.812822824
42	0.8114689296
43	0.8093168063
44	0.8091421392
45	0.8091149973
46	0.8090816269
47	0.8087302723
48	0.8086724332
49	0.8060121517
50	0.8046134783
51	0.8043925839
52	0.8043811491
53	0.8026215521
54	0.8026029257
55	0.8025773099
56	0.8024743056
57	0.8024586672
58	0.8024500185
59	0.8023990726
60	0.8022234622
61	0.8022174182
62	0.80219499
63	0.80219499
64	0.8019349605
65	0.8019254763
66	0.8013145793
67	0.8006760257
68	0.8006306667
69	0.7981376373
70	0.7969837381
71	0.7969799209
72	0.7969753581
73	0.7969728232
74	0.7969714514
75	0.7969697814
76	0.7961713329
77	0.7961141039
78	0.7960934443
79	0.7960907274
80	0.7960802481
81	0.7960716198
82	0.7960715601
83	0.7956416954
84	0.795290978
85	0.7952869734
86	0.7949603769
87	0.7926696538
88	0.7921394754
89	0.7921219527
90	0.7920588798
91	0.7917064251
92	0.7915843815
93	0.7914756823
94	0.7914506974
95	0.7913182523
96	0.790477745
97	0.7904698372
98	0.7902978014
99	0.7895550102
100	0.789515876
101	0.7895128054
102	0.788937547
103	0.7885216374
104	0.788520281
105	0.7873124096
106	0.7865904889
107	0.7863611163
108	0.7863090071
109	0.7863089769
110	0.7853875178
111	0.7853858534
112	0.7853771681
113	0.7852114626
114	0.7851292174
115	0.7848689545
116	0.7846553751
117	0.784356533
118	0.7839840934
119	0.7839727549
120	0.783971421
121	0.7836040153
122	0.7830978985
123	0.7828621897
124	0.7824570844
125	0.7824209974
126	0.7810282493
127	0.7810167158
128	0.781008621
129	0.7808708435
130	0.7808706609
131	0.7805620876
132	0.7805142807
133	0.7802672825
134	0.7801743715
135	0.7799651136
136	0.7795599357
137	0.7794637997
138	0.7794404423
139	0.7794370575
140	0.7793940304
141	0.7793413333
142	0.779314404
143	0.7789065686
144	0.7789005268
145	0.7786826244
146	0.7784797433
147	0.7781014973
148	0.7779793359
149	0.7779708734
150	0.7778724938
151	0.7777730627
152	0.7777297907
153	0.7777154272
154	0.7777132269
155	0.7777011858
156	0.77755946
157	0.7774284698
158	0.7771063876
159	0.7766629355
160	0.7765751941
161	0.7763724971
162	0.7762027871
163	0.775625134
164	0.7756015078
165	0.7755989337
166	0.7755980144
167	0.7755693615
168	0.7755290006
169	0.7755072716
170	0.7754780024
171	0.7754695739
172	0.7754654362
173	0.7754633827
174	0.7753185808
175	0.7752321895
176	0.7752267323
177	0.7752255059
178	0.7752249541
179	0.7752245555
180	0.7751953983
181	0.7751945398
182	0.7741614934
183	0.7741609715
184	0.7740376047
185	0.7740291605
186	0.7740290684
187	0.7740276559
188	0.7739252126
189	0.7738301887
190	0.7728908694
191	0.7719428946
192	0.7718033141
193	0.771721611
194	0.7717038711
195	0.7709721749
196	0.7708088305
197	0.77078518
198	0.7707463262
199	0.7707247708
200	0.7707132373
201	0.7707131756
202	0.7707055893
203	0.7707055893
204	0.7706746883
205	0.7702623092
206	0.7702616304
207	0.7696740218
208	0.7696738674
209	0.769666487
210	0.7693114662
211	0.7688435794
212	0.7688416009
213	0.7688406117
214	0.7678976961
215	0.767769639
216	0.7677232027
217	0.7677175682
218	0.7674974198
219	0.7674940134
220	0.7674863024
221	0.7674525154
222	0.7672593656
223	0.7672453638
224	0.7671790374
225	0.7659105768
226	0.7659090873
227	0.7659024154
228	0.7658995294
229	0.7658983192
230	0.7644390316
231	0.7644007259
232	0.7641876463
233	0.7641871487
234	0.7641832921
235	0.7641816748
236	0.7641526249
237	0.7641494835
238	0.7629515645
239	0.7628547063
240	0.7628120524
241	0.762810993
242	0.7628077214
243	0.7627286382
244	0.759439518
245	0.7592613277
246	0.7592549731
247	0.7592264861
248	0.7592261417
249	0.7592025374
250	0.7591931142
251	0.7581903036
252	0.7581880152
253	0.7581877017
254	0.7581872628
255	0.7573421538
256	0.7572114014
257	0.75699297
258	0.7567795635
259	0.7563452165
260	0.7563448394
261	0.7563169341
262	0.7563095805
263	0.7562109601
264	0.7562088229
265	0.7562012168
266	0.7561959051
267	0.7561958737
268	0.7561958737
269	0.7561914105
270	0.7561913477
271	0.7561890846
272	0.7561867588
273	0.7561822956
274	0.7561793096
275	0.7561669571
276	0.7561607336
277	0.7561572761
278	0.7560448981
279	0.7560432319
280	0.7559508335
281	0.7557792739
282	0.7557593043
283	0.755127552
284	0.7551267966
285	0.7551266078
286	0.7551264819
287	0.7551217606
288	0.7551198091
289	0.7551196832
290	0.7551179206
291	0.7549660999
292	0.7549494459
293	0.7549472421
294	0.7549471791
295	0.7549469902
296	0.7549464865
297	0.7549444087
298	0.7548592435
299	0.7548419575
300	0.7548389347
301	0.7547060795
302	0.7547059536
303	0.7547047884
304	0.7547043475
305	0.7546222418
306	0.7543254281
307	0.7537026281
308	0.7536840541
309	0.7536591409
310	0.7536586048
311	0.7536532751
312	0.753652266
313	0.7536521714
314	0.7536522029
315	0.7536513514
316	0.7535273709
317	0.7535270555
318	0.7535245006
319	0.7535229551
320	0.7534974372
321	0.752461957
322	0.752441078
323	0.7524401936
324	0.7524164711
325	0.7523955909
326	0.7523949276
327	0.7523259335
328	0.7523256808
329	0.752325586
330	0.7523255544
331	0.7522935825
332	0.7521803429
333	0.7521781626
334	0.752172854
335	0.7521701681
336	0.7521193874
337	0.7521007742
338	0.752081023
339	0.7514797994
340	0.7514163515
341	0.7513791216
342	0.7513655198
343	0.7513611228
344	0.7513605534
345	0.7513327478
346	0.7512963995
347	0.7512959566
348	0.7512713438
349	0.7512652063
350	0.7512576451
351	0.7511596588
352	0.7511595955
353	0.7511595638
354	0.7511561782
355	0.7511522863
356	0.750928516
357	0.7509261738
358	0.7509252242
359	0.7509059485
360	0.7508088659
361	0.750808486
362	0.7508003188
363	0.7507585945
364	0.7507522629
365	0.7507502684
366	0.7507492554
367	0.7507443483
368	0.7507397894
369	0.7501792179
370	0.750119177
371	0.7501188919
372	0.7501131885
373	0.750108816
374	0.7500826749
375	0.7500826116
376	0.7500808054
377	0.7500796013
378	0.7500790943
379	0.7500788409
380	0.7500780487
381	0.7500780487
382	0.750008176
383	0.750005007
384	0.7499858661
385	0.749357937
386	0.749350198
387	0.7490936222
388	0.7490228326
389	0.7490210874
390	0.7489901485
391	0.7488646663
392	0.7488620321
393	0.7488595882
394	0.7488592391
395	0.7488523201
396	0.7488522566
397	0.7488522566
398	0.7488225486
399	0.7487370998
400	0.748720466
401	0.7486614193
402	0.7486574827
403	0.7486551335
404	0.74865507
405	0.7486536096
406	0.7486531016
407	0.7486521492
408	0.7486518953
409	0.7486518318
410	0.7486512921
411	0.7486461807
412	0.7486451648
413	0.7486348151
414	0.7486342754
415	0.7486294814
416	0.748628783
417	0.7485303254
418	0.7485259436
419	0.7485213395
420	0.7485087018
421	0.7484925075
422	0.7484789802
423	0.7483944449
424	0.7483899987
425	0.748385362
426	0.7483432808
427	0.7483178404
428	0.7482903346
429	0.7477327582
430	0.7477232859
431	0.7477216965
432	0.7477216965
433	0.7476978562
434	0.7476978562
435	0.7476973475
436	0.7476970297
437	0.7476970297
438	0.7476967118
439	0.7476966482
440	0.7476959171
441	0.747695027
442	0.7476949953
443	0.7476949953
444	0.7476184463
445	0.7476183191
446	0.747466406
447	0.7474631308
448	0.7474066878
449	0.7473530074
450	0.7473526894
451	0.7473408906
452	0.7473403181
453	0.7473400955
454	0.747336788
455	0.747336788
456	0.7473367244
457	0.7473353887
458	0.7473348162
459	0.7473327172
460	0.7473191053
461	0.7473188509
462	0.7473187555
463	0.7473187237
464	0.7473187237
465	0.7473187237
466	0.7469975634
467	0.7469729362
468	0.7469551176
469	0.7469551176
470	0.7468666229
471	0.7468665275
472	0.7468659228
473	0.7468328261
474	0.7468326033
475	0.7468315531
476	0.746825029
477	0.7466264157
478	0.7465754806
