iter	Passed	Remaining
0	12	6328
1	26	6547
2	42	6965
3	61	7648
4	122	12157
5	150	12358
6	161	11343
7	223	13714
8	258	14128
9	293	14378
10	310	13781
11	329	13402
12	352	13191
13	364	12637
14	380	12315
15	392	11883
16	408	11603
17	420	11258
18	430	10907
19	495	11880
20	544	12424
21	577	12555
22	591	12275
23	607	12047
24	639	12158
25	654	11928
26	671	11766
27	697	11756
28	712	11571
29	729	11435
30	747	11304
31	773	11307
32	791	11196
33	811	11126
34	833	11068
35	887	11445
36	904	11315
37	924	11234
38	936	11065
39	955	10992
40	988	11067
41	1013	11048
42	1027	10916
43	1052	10912
44	1077	10894
45	1086	10722
46	1100	10607
47	1121	10563
48	1140	10496
49	1200	10802
50	1264	11128
51	1279	11025
52	1288	10868
53	1350	11150
54	1364	11039
55	1379	10940
56	1405	10926
57	1418	10807
58	1432	10707
59	1456	10684
60	1483	10675
61	1493	10553
62	1509	10469
63	1519	10353
64	1533	10265
65	1550	10197
66	1571	10158
67	1605	10202
68	1618	10108
69	1681	10332
70	1709	10326
71	1726	10261
72	1738	10170
73	1750	10078
74	1762	9989
75	1772	9890
76	1834	10078
77	1869	10112
78	1888	10064
79	1903	9993
80	1918	9922
81	1935	9866
82	1947	9785
83	2010	9957
84	2028	9903
85	2039	9817
86	2053	9746
87	2091	9789
88	2112	9754
89	2128	9698
90	2142	9630
91	2159	9576
92	2176	9526
93	2202	9513
94	2219	9462
95	2233	9400
96	2293	9530
97	2311	9480
98	2332	9447
99	2394	9577
100	2414	9536
101	2427	9472
102	2443	9418
103	2504	9538
104	2520	9482
105	2580	9590
106	2608	9582
107	2668	9687
108	2690	9650
109	2702	9582
110	2762	9681
111	2778	9626
112	2791	9559
113	2853	9660
114	2865	9593
115	2890	9568
116	2950	9659
117	2981	9653
118	3043	9744
119	3061	9696
120	3076	9635
121	3135	9715
122	3161	9690
123	3209	9731
124	3223	9671
125	3248	9642
126	3262	9581
127	3276	9522
128	3288	9459
129	3308	9416
130	3317	9344
131	3349	9338
132	3410	9410
133	3430	9368
134	3440	9302
135	3500	9368
136	3563	9440
137	3579	9388
138	3595	9338
139	3607	9277
140	3624	9228
141	3641	9179
142	3657	9131
143	3669	9071
144	3681	9013
145	3700	8973
146	3760	9029
147	3821	9089
148	3835	9035
149	3847	8978
150	3867	8938
151	3879	8882
152	3893	8830
153	3910	8785
154	3923	8731
155	3940	8689
156	3954	8638
157	3973	8601
158	4021	8624
159	4082	8674
160	4094	8620
161	4127	8611
162	4147	8574
163	4162	8527
164	4182	8490
165	4193	8437
166	4204	8383
167	4228	8357
168	4253	8330
169	4267	8284
170	4287	8248
171	4298	8196
172	4312	8150
173	4326	8105
174	4342	8064
175	4401	8103
176	4422	8069
177	4434	8021
178	4445	7971
179	4457	7924
180	4504	7939
181	4517	7893
182	4578	7931
183	4590	7884
184	4650	7918
185	4664	7874
186	4675	7825
187	4691	7786
188	4707	7746
189	4767	7778
190	4787	7744
191	4803	7705
192	4823	7672
193	4882	7701
194	4897	7660
195	4919	7629
196	4936	7592
197	4956	7560
198	4968	7515
199	4982	7473
200	5000	7438
201	5010	7391
202	5025	7353
203	5035	7307
204	5098	7336
205	5149	7349
206	5160	7304
207	5176	7267
208	5185	7219
209	5198	7178
210	5213	7140
211	5273	7164
212	5284	7120
213	5298	7081
214	5358	7103
215	5379	7072
216	5440	7094
217	5453	7054
218	5500	7057
219	5514	7018
220	5526	6977
221	5586	6995
222	5608	6966
223	5622	6927
224	5681	6944
225	5750	6971
226	5762	6930
227	5782	6898
228	5794	6857
229	5806	6816
230	5866	6831
231	5927	6847
232	5947	6815
233	5964	6780
234	5982	6746
235	5996	6708
236	6029	6690
237	6043	6652
238	6077	6637
239	6097	6605
240	6109	6566
241	6123	6528
242	6132	6485
243	6157	6460
244	6220	6474
245	6282	6486
246	6308	6461
247	6332	6435
248	6347	6398
249	6361	6361
250	6376	6325
251	6435	6333
252	6449	6296
253	6459	6256
254	6479	6225
255	6501	6196
